x,t,u
0.25,0.02,0.0176583
0.26,0.02,0.019226
0.27,0.02,0.0208603
0.28,0.02,0.0225613
0.29,0.02,0.024329
0.3,0.02,0.0261633
0.31,0.02,0.0280643
0.32,0.02,0.030032
0.33,0.02,0.0320663
0.34,0.02,0.0341673
0.35,0.02,0.036335
0.36,0.02,0.0385693
0.37,0.02,0.0408703
0.38,0.02,0.043238
0.39,0.02,0.0456723
0.4,0.02,0.0481733
0.41,0.02,0.050741
0.42,0.02,0.0533753
0.43,0.02,0.0560763
0.44,0.02,0.058844
0.45,0.02,0.0616783
0.46,0.02,0.0645793
0.47,0.02,0.067547
0.48,0.02,0.0705813
0.49,0.02,0.0736823
0.5,0.02,0.07685
0.51,0.02,0.0800843
0.52,0.02,0.0833853
0.53,0.02,0.086753
0.54,0.02,0.0901873
0.55,0.02,0.0936883
0.56,0.02,0.097256
0.57,0.02,0.10089
0.58,0.02,0.104591
0.59,0.02,0.108359
0.6,0.02,0.112193
0.61,0.02,0.116094
0.62,0.02,0.120062
0.63,0.02,0.124096
0.64,0.02,0.128197
0.65,0.02,0.132365
0.66,0.02,0.136599
0.67,0.02,0.1409
0.68,0.02,0.145268
0.69,0.02,0.149702
0.7,0.02,0.154203
0.71,0.02,0.158771
0.72,0.02,0.163405
0.73,0.02,0.168106
0.74,0.02,0.172874
0.75,0.02,0.177708
0.76,0.02,0.182609
0.77,0.02,0.187577
0.78,0.02,0.192611
0.79,0.02,0.197712
0.8,0.02,0.20288
0.81,0.02,0.208114
0.82,0.02,0.213415
0.83,0.02,0.218783
0.84,0.02,0.224217
0.85,0.02,0.229718
0.86,0.02,0.235286
0.87,0.02,0.24092
0.88,0.02,0.246621
0.89,0.02,0.252389
0.9,0.02,0.258223
0.91,0.02,0.264124
0.92,0.02,0.270092
0.93,0.02,0.276126
0.94,0.02,0.282227
0.95,0.02,0.288395
0.96,0.02,0.294629
0.97,0.02,0.30093
0.98,0.02,0.307298
0.99,0.02,0.313732
1,0.02,0.320233
1.01,0.02,0.326801
1.02,0.02,0.333435
1.03,0.02,0.340136
1.04,0.02,0.346904
1.05,0.02,0.353738
1.06,0.02,0.360639
1.07,0.02,0.367607
1.08,0.02,0.374641
1.09,0.02,0.381742
1.1,0.02,0.38891
1.11,0.02,0.396144
1.12,0.02,0.403445
1.13,0.02,0.410813
1.14,0.02,0.418247
1.15,0.02,0.425748
1.16,0.02,0.433316
1.17,0.02,0.44095
1.18,0.02,0.448651
1.19,0.02,0.456419
1.2,0.02,0.464253
1.21,0.02,0.472154
1.22,0.02,0.480122
1.23,0.02,0.488156
1.24,0.02,0.496257
1.25,0.02,0.504425
1.26,0.02,0.512659
1.27,0.02,0.52096
1.28,0.02,0.529328
1.29,0.02,0.537762
1.3,0.02,0.546263
1.31,0.02,0.554831
1.32,0.02,0.563465
1.33,0.02,0.572166
1.34,0.02,0.580934
1.35,0.02,0.589768
1.36,0.02,0.598669
1.37,0.02,0.607637
1.38,0.02,0.616671
1.39,0.02,0.625772
1.4,0.02,0.63494
1.41,0.02,0.644174
1.42,0.02,0.653475
1.43,0.02,0.662843
1.44,0.02,0.672277
1.45,0.02,0.681778
1.46,0.02,0.691346
1.47,0.02,0.70098
1.48,0.02,0.710681
1.49,0.02,0.720449
1.5,0.02,0.730283
1.51,0.02,0.740184
1.52,0.02,0.750152
1.53,0.02,0.760186
1.54,0.02,0.770287
1.55,0.02,0.780455
1.56,0.02,0.790689
1.57,0.02,0.80099
1.58,0.02,0.811358
1.59,0.02,0.821792
1.6,0.02,0.832293
1.61,0.02,0.842861
1.62,0.02,0.853495
1.63,0.02,0.864196
1.64,0.02,0.874964
1.65,0.02,0.885798
1.66,0.02,0.896699
1.67,0.02,0.907667
1.68,0.02,0.918701
1.69,0.02,0.929802
1.7,0.02,0.94097
1.71,0.02,0.952204
1.72,0.02,0.963505
1.73,0.02,0.974873
1.74,0.02,0.986307
1.75,0.02,0.997808
1.76,0.02,1.00938
1.77,0.02,1.02101
1.78,0.02,1.03271
1.79,0.02,1.04448
1.8,0.02,1.05631
1.81,0.02,1.06821
1.82,0.02,1.08018
1.83,0.02,1.09222
1.84,0.02,1.10432
1.85,0.02,1.11649
1.86,0.02,1.12872
1.87,0.02,1.14102
1.88,0.02,1.15339
1.89,0.02,1.16582
1.9,0.02,1.17832
1.91,0.02,1.19089
1.92,0.02,1.20353
1.93,0.02,1.21623
1.94,0.02,1.22899
1.95,0.02,1.24183
1.96,0.02,1.25473
1.97,0.02,1.2677
1.98,0.02,1.28073
1.99,0.02,1.29383
0,0.03,0
0.01,0.03,2e-06
0.02,0.03,5e-06
0.03,0.03,8e-06
0.04,0.03,4.43333e-05
0.05,0.03,0.000147333
0.06,0.03,0.000317
0.07,0.03,0.000553333
0.08,0.03,0.000856333
0.09,0.03,0.001226
0.1,0.03,0.00166233
0.11,0.03,0.00216533
0.12,0.03,0.002735
0.13,0.03,0.00337133
0.14,0.03,0.00407433
0.15,0.03,0.004844
0.16,0.03,0.00568033
0.17,0.03,0.00658333
0.18,0.03,0.007553
0.19,0.03,0.00858933
0.2,0.03,0.00969233
0.21,0.03,0.010862
0.22,0.03,0.0120983
0.23,0.03,0.0134013
0.24,0.03,0.014771
0.25,0.03,0.0162073
0.26,0.03,0.0177103
0.27,0.03,0.01928
0.28,0.03,0.0209163
0.29,0.03,0.0226193
0.3,0.03,0.024389
0.31,0.03,0.0262253
0.32,0.03,0.0281283
0.33,0.03,0.030098
0.34,0.03,0.0321343
0.35,0.03,0.0342373
0.36,0.03,0.036407
0.37,0.03,0.0386433
0.38,0.03,0.0409463
0.39,0.03,0.043316
0.4,0.03,0.0457523
0.41,0.03,0.0482553
0.42,0.03,0.050825
0.43,0.03,0.0534613
0.44,0.03,0.0561643
0.45,0.03,0.058934
0.46,0.03,0.0617703
0.47,0.03,0.0646733
0.48,0.03,0.067643
0.49,0.03,0.0706793
0.5,0.03,0.0737823
0.51,0.03,0.076952
0.52,0.03,0.0801883
0.53,0.03,0.0834913
0.54,0.03,0.086861
0.55,0.03,0.0902973
0.56,0.03,0.0938003
0.57,0.03,0.09737
0.58,0.03,0.101006
0.59,0.03,0.104709
0.6,0.03,0.108479
0.61,0.03,0.112315
0.62,0.03,0.116218
0.63,0.03,0.120188
0.64,0.03,0.124224
0.65,0.03,0.128327
0.66,0.03,0.132497
0.67,0.03,0.136733
0.68,0.03,0.141036
0.69,0.03,0.145406
0.7,0.03,0.149842
0.71,0.03,0.154345
0.72,0.03,0.158915
0.73,0.03,0.163551
0.74,0.03,0.168254
0.75,0.03,0.173024
0.76,0.03,0.17786
0.77,0.03,0.182763
0.78,0.03,0.187733
0.79,0.03,0.192769
0.8,0.03,0.197872
0.81,0.03,0.203042
0.82,0.03,0.208278
0.83,0.03,0.213581
0.84,0.03,0.218951
0.85,0.03,0.224387
0.86,0.03,0.22989
0.87,0.03,0.23546
0.88,0.03,0.241096
0.89,0.03,0.246799
0.9,0.03,0.252569
0.91,0.03,0.258405
0.92,0.03,0.264308
0.93,0.03,0.270278
0.94,0.03,0.276314
0.95,0.03,0.282417
0.96,0.03,0.288587
0.97,0.03,0.294823
0.98,0.03,0.301126
0.99,0.03,0.307496
1,0.03,0.313932
1.01,0.03,0.320435
1.02,0.03,0.327005
1.03,0.03,0.333641
1.04,0.03,0.340344
1.05,0.03,0.347114
1.06,0.03,0.35395
1.07,0.03,0.360853
1.08,0.03,0.367823
1.09,0.03,0.374859
1.1,0.03,0.381962
1.11,0.03,0.389132
1.12,0.03,0.396368
1.13,0.03,0.403671
1.14,0.03,0.411041
1.15,0.03,0.418477
1.16,0.03,0.42598
1.17,0.03,0.43355
1.18,0.03,0.441186
1.19,0.03,0.448889
1.2,0.03,0.456659
1.21,0.03,0.464495
1.22,0.03,0.472398
1.23,0.03,0.480368
1.24,0.03,0.488404
1.25,0.03,0.496507
1.26,0.03,0.504677
1.27,0.03,0.512913
1.28,0.03,0.521216
1.29,0.03,0.529586
1.3,0.03,0.538022
1.31,0.03,0.546525
1.32,0.03,0.555095
1.33,0.03,0.563731
1.34,0.03,0.572434
1.35,0.03,0.581204
